refFile;testFile;Mqs;Mcs;HRC;videoDegradationType;videoCodec;videoBitrate;packetLossRate;freezingPauses;freezingLength
v03;v03_HRC3;2.768333333;3.833333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v03;v03_HRC4;2.741666667;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v03;v03_HRC1;2.436666667;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v03;v03_HRC2;2.156;2.6;HRC2;packetLoss;H.265;400;0.08;-;-
v03;v03_HRC7;2.095;4;HRC7;frameFreezing;H.264;800;-;3;7
v03;v03_HRC6;1.83;3;HRC6;frameFreezing;H.265;200;-;3;8
v04;v04_ANC1;4.92;5;ANC1;packetLoss;-;-;-;-;-
v04;v04_ANC2;4.643333333;4;ANC2;frameFreezing;-;-;-;0;0
v04;v04_HRC10;4.4225;3.25;HRC10;frameFreezing;H.264;16000;-;1;2
v04;v04_HRC5;3.443333333;4.333333333;HRC5;packetLoss;H.265;8000;0.01;-;-
v04;v04_HRC8;3.206;3.5;HRC8;frameFreezing;H.265;1000;-;2;4
v04;v04_HRC3;2.795;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v04;v04_HRC7;2.643333333;3.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v04;v04_HRC4;2.6425;3.75;HRC4;packetLoss;H.265;1000;0.03;-;-
v04;v04_HRC9;2.582;3.4;HRC9;frameFreezing;H.264;2000;-;2;4
v04;v04_HRC1;1.8525;4;HRC1;packetLoss;H.264;500;0.1;-;-
v04;v04_HRC2;1.533333333;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
v04;v04_HRC6;1.448888889;3.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v05;v05_ANC2;4.218181818;4;ANC2;frameFreezing;-;-;-;0;0
v05;v05_HRC10;4.19;4.5;HRC10;frameFreezing;H.264;16000;-;1;2
v05;v05_ANC1;4.162;3.6;ANC1;packetLoss;-;-;-;-;-
v05;v05_HRC5;3.212;3.6;HRC5;packetLoss;H.265;8000;0.01;-;-
v05;v05_HRC9;2.9075;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v05;v05_HRC4;2.71;3.8;HRC4;packetLoss;H.265;1000;0.03;-;-
v05;v05_HRC8;2.6425;4;HRC8;frameFreezing;H.265;1000;-;2;4
v05;v05_HRC7;2.605;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v05;v05_HRC2;1.923333333;3.833333333;HRC2;packetLoss;H.265;400;0.08;-;-
v05;v05_HRC1;1.92;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v05;v05_HRC3;1.89;3;HRC3;packetLoss;H.264;2000;0.05;-;-
v05;v05_HRC6;1.444;2;HRC6;frameFreezing;H.265;200;-;3;8
v06;v06_ANC2;4.77;4.333333333;ANC2;frameFreezing;-;-;-;0;0
v06;v06_HRC10;3.5775;3.5;HRC10;frameFreezing;H.264;16000;-;1;2
v06;v06_HRC9;3.55;5;HRC9;frameFreezing;H.264;2000;-;2;4
v06;v06_ANC1;3.47;3.2;ANC1;packetLoss;-;-;-;-;-
v06;v06_HRC4;3.14;2;HRC4;packetLoss;H.265;1000;0.03;-;-
v06;v06_HRC5;3.106666667;3;HRC5;packetLoss;H.265;8000;0.01;-;-
v06;v06_HRC8;2.92;3.2;HRC8;frameFreezing;H.265;1000;-;2;4
v06;v06_HRC6;2.89;4.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v06;v06_HRC3;2.6275;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v06;v06_HRC7;2.495555556;2.777777778;HRC7;frameFreezing;H.264;800;-;3;7
v06;v06_HRC1;2.25125;2.75;HRC1;packetLoss;H.264;500;0.1;-;-
v06;v06_HRC2;1.995454545;3.181818182;HRC2;packetLoss;H.265;400;0.08;-;-
v07;v07_ANC2;4.4;4;ANC2;frameFreezing;-;-;-;0;0
v07;v07_ANC1;4.241428571;3.285714286;ANC1;packetLoss;-;-;-;-;-
v07;v07_HRC10;4.033333333;3.666666667;HRC10;frameFreezing;H.264;16000;-;1;2
v07;v07_HRC5;3.285;3.75;HRC5;packetLoss;H.265;8000;0.01;-;-
v07;v07_HRC9;3.2825;3.25;HRC9;frameFreezing;H.264;2000;-;2;4
v07;v07_HRC8;3.111;2.5;HRC8;frameFreezing;H.265;1000;-;2;4
v07;v07_HRC3;2.746666667;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v07;v07_HRC1;2.45;1.5;HRC1;packetLoss;H.264;500;0.1;-;-
v07;v07_HRC7;2.393333333;3;HRC7;frameFreezing;H.264;800;-;3;7
v07;v07_HRC4;2.06;2.714285714;HRC4;packetLoss;H.265;1000;0.03;-;-
v07;v07_HRC2;1.703333333;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
v07;v07_HRC6;1.665;2.5;HRC6;frameFreezing;H.265;200;-;3;8
v08;v08_ANC1;4.75;2;ANC1;packetLoss;-;-;-;-;-
v08;v08_ANC2;4.502857143;2.571428571;ANC2;frameFreezing;-;-;-;0;0
v08;v08_HRC5;4.181428571;2.857142857;HRC5;packetLoss;H.265;8000;0.01;-;-
v08;v08_HRC10;3.544285714;3;HRC10;frameFreezing;H.264;16000;-;1;2
v08;v08_HRC8;3.345;2.75;HRC8;frameFreezing;H.265;1000;-;2;4
v08;v08_HRC9;3.154;3;HRC9;frameFreezing;H.264;2000;-;2;4
v08;v08_HRC4;2.912;3.6;HRC4;packetLoss;H.265;1000;0.03;-;-
v08;v08_HRC1;2.4225;3;HRC1;packetLoss;H.264;500;0.1;-;-
v08;v08_HRC7;2.323333333;2.444444444;HRC7;frameFreezing;H.264;800;-;3;7
v08;v08_HRC3;2.123333333;4;HRC3;packetLoss;H.264;2000;0.05;-;-
v08;v08_HRC2;1.77;2.75;HRC2;packetLoss;H.265;400;0.08;-;-
v08;v08_HRC6;1.59;1.8;HRC6;frameFreezing;H.265;200;-;3;8
v09;v09_ANC1;4.195;3.25;ANC1;packetLoss;-;-;-;-;-
v09;v09_HRC10;4.1875;3.75;HRC10;frameFreezing;H.264;16000;-;1;2
v09;v09_ANC2;4;4;ANC2;frameFreezing;-;-;-;0;0
v09;v09_HRC5;3.778;3.2;HRC5;packetLoss;H.265;8000;0.01;-;-
v09;v09_HRC9;3.28;3.363636364;HRC9;frameFreezing;H.264;2000;-;2;4
v09;v09_HRC4;3.175714286;3.285714286;HRC4;packetLoss;H.265;1000;0.03;-;-
v09;v09_HRC2;3.073333333;3;HRC2;packetLoss;H.265;400;0.08;-;-
v09;v09_HRC8;3.013333333;3.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v09;v09_HRC3;2.88375;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v09;v09_HRC7;2.806666667;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v09;v09_HRC1;2.755;4.5;HRC1;packetLoss;H.264;500;0.1;-;-
v09;v09_HRC6;2.455;3;HRC6;frameFreezing;H.265;200;-;3;8
v10;v10_ANC1;4.5725;3.5;ANC1;packetLoss;-;-;-;-;-
v10;v10_ANC2;4.546666667;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v10;v10_HRC10;4.14;3;HRC10;frameFreezing;H.264;16000;-;1;2
v10;v10_HRC8;3.735;4;HRC8;frameFreezing;H.265;1000;-;2;4
v10;v10_HRC5;3.673333333;4;HRC5;packetLoss;H.265;8000;0.01;-;-
v10;v10_HRC7;2.83;2;HRC7;frameFreezing;H.264;800;-;3;7
v10;v10_HRC9;2.774;3.8;HRC9;frameFreezing;H.264;2000;-;2;4
v10;v10_HRC4;2.37;3.777777778;HRC4;packetLoss;H.265;1000;0.03;-;-
v10;v10_HRC3;2.26;3.166666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v10;v10_HRC1;1.985;2875;HRC1;packetLoss;H.264;500;0.1;-;-
v10;v10_HRC6;1.444444444;2.888888889;HRC6;frameFreezing;H.265;200;-;3;8
v10;v10_HRC2;1.36;2.8;HRC2;packetLoss;H.265;400;0.08;-;-
v11;v11_ANC2;4.623333333;3.555555556;ANC2;frameFreezing;-;-;-;0;0
v11;v11_ANC1;4.47;4;ANC1;packetLoss;-;-;-;-;-
v11;v11_HRC5;4.47;2.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v11;v11_HRC10;3.875;3.5;HRC10;frameFreezing;H.264;16000;-;1;2
v11;v11_HRC4;2.894;3.2;HRC4;packetLoss;H.265;1000;0.03;-;-
v11;v11_HRC9;2.79;1;HRC9;frameFreezing;H.264;2000;-;2;4
v11;v11_HRC8;2.638571429;3.571428571;HRC8;frameFreezing;H.265;1000;-;2;4
v11;v11_HRC7;2.536666667;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v11;v11_HRC3;2.506;2.6;HRC3;packetLoss;H.264;2000;0.05;-;-
v11;v11_HRC2;2.118571429;2.857142857;HRC2;packetLoss;H.265;400;0.08;-;-
v11;v11_HRC6;1.794285714;2.285714286;HRC6;frameFreezing;H.265;200;-;3;8
v11;v11_HRC1;1.696;3.2;HRC1;packetLoss;H.264;500;0.1;-;-
v12;v12_ANC2;4.406666667;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v12;v12_HRC10;3.61;3.333333333;HRC10;frameFreezing;H.264;16000;-;1;2
v12;v12_ANC1;3.596666667;2;ANC1;packetLoss;-;-;-;-;-
v12;v12_HRC3;3.188;2.6;HRC3;packetLoss;H.264;2000;0.05;-;-
v12;v12_HRC9;2.8025;2.75;HRC9;frameFreezing;H.264;2000;-;2;4
v12;v12_HRC5;2.686666667;3.333333333;HRC5;packetLoss;H.265;8000;0.01;-;-
v12;v12_HRC8;2.676666667;2.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v12;v12_HRC1;2.642;3.2;HRC1;packetLoss;H.264;500;0.1;-;-
v12;v12_HRC4;2.586666667;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v12;v12_HRC7;2.516666667;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v12;v12_HRC2;1.839;2.6;HRC2;packetLoss;H.265;400;0.08;-;-
v12;v12_HRC6;1.5075;3;HRC6;frameFreezing;H.265;200;-;3;8
v13;v13_ANC2;4.44;4;ANC2;frameFreezing;-;-;-;0;0
v13;v13_HRC9;3.549166667;3.166666667;HRC9;frameFreezing;H.264;2000;-;2;4
v13;v13_HRC5;3.45;3;HRC5;packetLoss;H.265;8000;0.01;-;-
v13;v13_HRC7;3.44;3.5;HRC7;frameFreezing;H.264;800;-;3;7
v13;v13_ANC1;3.43;3.666666667;ANC1;packetLoss;-;-;-;-;-
v13;v13_HRC10;3.35;3.25;HRC10;frameFreezing;H.264;16000;-;1;2
v13;v13_HRC3;2.986666667;3.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v13;v13_HRC4;2.98;3;HRC4;packetLoss;H.265;1000;0.03;-;-
v13;v13_HRC8;2.748571429;3.142857143;HRC8;frameFreezing;H.265;1000;-;2;4
v13;v13_HRC1;1.898571429;3;HRC1;packetLoss;H.264;500;0.1;-;-
v13;v13_HRC6;1.852;2.8;HRC6;frameFreezing;H.265;200;-;3;8
v13;v13_HRC2;1.596666667;4;HRC2;packetLoss;H.265;400;0.08;-;-
v14;v14_HRC9;3.534;3.4;HRC9;frameFreezing;H.264;2000;-;2;4
v14;v14_ANC2;4.588333333;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v14;v14_ANC1;3.995;2.75;ANC1;packetLoss;-;-;-;-;-
v14;v14_HRC10;3.812;3.3;HRC10;frameFreezing;H.264;16000;-;1;2
v14;v14_HRC8;3.02;2.857142857;HRC8;frameFreezing;H.265;1000;-;2;4
v14;v14_HRC7;2.6425;2.25;HRC7;frameFreezing;H.264;800;-;3;7
v14;v14_HRC2;2.515;2;HRC2;packetLoss;H.265;400;0.08;-;-
v14;v14_HRC4;2.265;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v14;v14_HRC3;2.135;2.75;HRC3;packetLoss;H.264;2000;0.05;-;-
v14;v14_HRC1;1.846;2.8;HRC1;packetLoss;H.264;500;0.1;-;-
v14;v14_HRC6;1.528571429;2.571428571;HRC6;frameFreezing;H.265;200;-;3;8
v14;v14_HRC5;1.51;1;HRC5;packetLoss;H.265;8000;0.01;-;-
v15;v15_ANC2;4.33;2;ANC2;frameFreezing;-;-;-;0;0
v15;v15_ANC1;3.906666667;3;ANC1;packetLoss;-;-;-;-;-
v15;v15_HRC10;3.3875;3.5;HRC10;frameFreezing;H.264;16000;-;1;2
v15;v15_HRC5;3.3475;3.75;HRC5;packetLoss;H.265;8000;0.01;-;-
v15;v15_HRC8;2.593333333;4;HRC8;frameFreezing;H.265;1000;-;2;4
v15;v15_HRC9;2.483333333;2.666666667;HRC9;frameFreezing;H.264;2000;-;2;4
v15;v15_HRC4;2.431818182;3.454545455;HRC4;packetLoss;H.265;1000;0.03;-;-
v15;v15_HRC1;2.39;3.142857143;HRC1;packetLoss;H.264;500;0.1;-;-
v15;v15_HRC6;2.2725;3;HRC6;frameFreezing;H.265;200;-;3;8
v15;v15_HRC3;2.128571429;2.857142857;HRC3;packetLoss;H.264;2000;0.05;-;-
v15;v15_HRC2;2.06;3;HRC2;packetLoss;H.265;400;0.08;-;-
v15;v15_HRC7;1.93;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v16;v16_ANC2;4.81625;2875;ANC2;frameFreezing;-;-;-;0;0
v16;v16_HRC9;4.366666667;4;HRC9;frameFreezing;H.264;2000;-;2;4
v16;v16_HRC10;4.0775;3125;HRC10;frameFreezing;H.264;16000;-;1;2
v16;v16_ANC1;4.06;3;ANC1;packetLoss;-;-;-;-;-
v16;v16_HRC8;3.658333333;3.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v16;v16_HRC5;3.464;3.8;HRC5;packetLoss;H.265;8000;0.01;-;-
v16;v16_HRC6;3.2575;3.75;HRC6;frameFreezing;H.265;200;-;3;8
v16;v16_HRC4;3.102857143;3.714285714;HRC4;packetLoss;H.265;1000;0.03;-;-
v16;v16_HRC3;3.063333333;3.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v16;v16_HRC1;2.278571429;3.285714286;HRC1;packetLoss;H.264;500;0.1;-;-
v16;v16_HRC2;2.273333333;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
v16;v16_HRC7;2.0775;3.5;HRC7;frameFreezing;H.264;800;-;3;7
v17;v17_ANC2;4.831428571;3.428571429;ANC2;frameFreezing;-;-;-;0;0
v17;v17_ANC1;4.69625;3375;ANC1;packetLoss;-;-;-;-;-
v17;v17_HRC10;4.647142857;3.285714286;HRC10;frameFreezing;H.264;16000;-;1;2
v17;v17_HRC7;3.65;4;HRC7;frameFreezing;H.264;800;-;3;7
v17;v17_HRC5;3.5175;3;HRC5;packetLoss;H.265;8000;0.01;-;-
v17;v17_HRC9;2.758333333;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v17;v17_HRC8;2.465;3.5;HRC8;frameFreezing;H.265;1000;-;2;4
v17;v17_HRC4;2.03;2.8;HRC4;packetLoss;H.265;1000;0.03;-;-
v17;v17_HRC3;1.535;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v17;v17_HRC1;1.45;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v17;v17_HRC2;1.338571429;3.428571429;HRC2;packetLoss;H.265;400;0.08;-;-
v17;v17_HRC6;1.0825;1.5;HRC6;frameFreezing;H.265;200;-;3;8
v18;v18_ANC2;4.73;3.6;ANC2;frameFreezing;-;-;-;0;0
v18;v18_ANC1;4.515;4;ANC1;packetLoss;-;-;-;-;-
v18;v18_HRC9;4.133333333;3;HRC9;frameFreezing;H.264;2000;-;2;4
v18;v18_HRC10;3.969;3.2;HRC10;frameFreezing;H.264;16000;-;1;2
v18;v18_HRC5;3.936666667;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v18;v18_HRC4;3.455;3.25;HRC4;packetLoss;H.265;1000;0.03;-;-
v18;v18_HRC8;3.031666667;2.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v18;v18_HRC6;3;3;HRC6;frameFreezing;H.265;200;-;3;8
v18;v18_HRC7;2.785;2.5;HRC7;frameFreezing;H.264;800;-;3;7
v18;v18_HRC3;2.573333333;3.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v18;v18_HRC2;2.14;2.6;HRC2;packetLoss;H.265;400;0.08;-;-
v18;v18_HRC1;1.965;2.25;HRC1;packetLoss;H.264;500;0.1;-;-
v19;v19_ANC2;4.681;3.3;ANC2;frameFreezing;-;-;-;0;0
v19;v19_ANC1;4.027777778;3.111111111;ANC1;packetLoss;-;-;-;-;-
v19;v19_HRC10;3.513333333;3.666666667;HRC10;frameFreezing;H.264;16000;-;1;2
v19;v19_HRC3;3.483333333;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v19;v19_HRC7;2.904;3.2;HRC7;frameFreezing;H.264;800;-;3;7
v19;v19_HRC9;2.885;2875;HRC9;frameFreezing;H.264;2000;-;2;4
v19;v19_HRC5;2.8;2.333333333;HRC5;packetLoss;H.265;8000;0.01;-;-
v19;v19_HRC1;2.525;2.25;HRC1;packetLoss;H.264;500;0.1;-;-
v19;v19_HRC4;2.3325;3.5;HRC4;packetLoss;H.265;1000;0.03;-;-
v19;v19_HRC8;2.323333333;2.5;HRC8;frameFreezing;H.265;1000;-;2;4
v19;v19_HRC6;2.01;3;HRC6;frameFreezing;H.265;200;-;3;8
v19;v19_HRC2;1.474;3.2;HRC2;packetLoss;H.265;400;0.08;-;-
v20;v20_ANC2;4.77;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v20;v20_ANC1;4.371666667;3.166666667;ANC1;packetLoss;-;-;-;-;-
v20;v20_HRC10;4.2425;2375;HRC10;frameFreezing;H.264;16000;-;1;2
v20;v20_HRC9;3.79;1.666666667;HRC9;frameFreezing;H.264;2000;-;2;4
v20;v20_HRC5;3.2775;2.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v20;v20_HRC8;2.8525;2;HRC8;frameFreezing;H.265;1000;-;2;4
v20;v20_HRC3;2.347142857;2.857142857;HRC3;packetLoss;H.264;2000;0.05;-;-
v20;v20_HRC4;2.288;2.8;HRC4;packetLoss;H.265;1000;0.03;-;-
v20;v20_HRC6;2.13;2.666666667;HRC6;frameFreezing;H.265;200;-;3;8
v20;v20_HRC7;2.123333333;2;HRC7;frameFreezing;H.264;800;-;3;7
v20;v20_HRC2;1.911428571;1.714285714;HRC2;packetLoss;H.265;400;0.08;-;-
v20;v20_HRC1;1.595;1.75;HRC1;packetLoss;H.264;500;0.1;-;-
v21;v21_ANC2;4.7425;4;ANC2;frameFreezing;-;-;-;0;0
v21;v21_ANC1;4.635555556;3;ANC1;packetLoss;-;-;-;-;-
v21;v21_HRC10;3.888888889;4;HRC10;frameFreezing;H.264;16000;-;1;2
v21;v21_HRC5;3.695;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v21;v21_HRC9;3.61;3.75;HRC9;frameFreezing;H.264;2000;-;2;4
v21;v21_HRC8;3.365;3.25;HRC8;frameFreezing;H.265;1000;-;2;4
v21;v21_HRC3;3.04;3.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v21;v21_HRC6;2.383333333;3;HRC6;frameFreezing;H.265;200;-;3;8
v21;v21_HRC7;2.221666667;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v21;v21_HRC2;2.066666667;3;HRC2;packetLoss;H.265;400;0.08;-;-
v21;v21_HRC1;1.99;3;HRC1;packetLoss;H.264;500;0.1;-;-
v21;v21_HRC4;1.57;2;HRC4;packetLoss;H.265;1000;0.03;-;-
v22;v22_HRC5;4.583333333;4.333333333;HRC5;packetLoss;H.265;8000;0.01;-;-
v22;v22_ANC1;4.532857143;3.142857143;ANC1;packetLoss;-;-;-;-;-
v22;v22_ANC2;4.27;2.4;ANC2;frameFreezing;-;-;-;0;0
v22;v22_HRC10;4.0575;3;HRC10;frameFreezing;H.264;16000;-;1;2
v22;v22_HRC9;3.88375;3375;HRC9;frameFreezing;H.264;2000;-;2;4
v22;v22_HRC2;3.705;2.5;HRC2;packetLoss;H.265;400;0.08;-;-
v22;v22_HRC3;3.626;3;HRC3;packetLoss;H.264;2000;0.05;-;-
v22;v22_HRC4;3.56;2.333333333;HRC4;packetLoss;H.265;1000;0.03;-;-
v22;v22_HRC8;3.42;3.25;HRC8;frameFreezing;H.265;1000;-;2;4
v22;v22_HRC7;2.505;3;HRC7;frameFreezing;H.264;800;-;3;7
v22;v22_HRC1;2.418;2.2;HRC1;packetLoss;H.264;500;0.1;-;-
v22;v22_HRC6;2.316666667;3;HRC6;frameFreezing;H.265;200;-;3;8
v23;v23_ANC1;4.502;3.2;ANC1;packetLoss;-;-;-;-;-
v23;v23_ANC2;4.442;3.4;ANC2;frameFreezing;-;-;-;0;0
v23;v23_HRC10;4.216;2.8;HRC10;frameFreezing;H.264;16000;-;1;2
v23;v23_HRC8;3.252;2.4;HRC8;frameFreezing;H.265;1000;-;2;4
v23;v23_HRC9;3.172;3.2;HRC9;frameFreezing;H.264;2000;-;2;4
v23;v23_HRC4;3.13;2.2;HRC4;packetLoss;H.265;1000;0.03;-;-
v23;v23_HRC5;3.115714286;3.428571429;HRC5;packetLoss;H.265;8000;0.01;-;-
v23;v23_HRC3;2.42;1.75;HRC3;packetLoss;H.264;2000;0.05;-;-
v23;v23_HRC6;2.4;2.8;HRC6;frameFreezing;H.265;200;-;3;8
v23;v23_HRC7;2.19125;2125;HRC7;frameFreezing;H.264;800;-;3;7
v23;v23_HRC2;1.79;2.6;HRC2;packetLoss;H.265;400;0.08;-;-
v23;v23_HRC1;1.24;3.5;HRC1;packetLoss;H.264;500;0.1;-;-
v24;v24_ANC2;4.51;4.333333333;ANC2;frameFreezing;-;-;-;0;0
v24;v24_HRC5;4.376666667;3.666666667;HRC5;packetLoss;H.265;8000;0.01;-;-
v24;v24_ANC1;4.0475;3.5;ANC1;packetLoss;-;-;-;-;-
v24;v24_HRC10;3.895;3.3;HRC10;frameFreezing;H.264;16000;-;1;2
v24;v24_HRC4;3.29;4;HRC4;packetLoss;H.265;1000;0.03;-;-
v24;v24_HRC8;3.2;3;HRC8;frameFreezing;H.265;1000;-;2;4
v24;v24_HRC7;2.922857143;3.857142857;HRC7;frameFreezing;H.264;800;-;3;7
v24;v24_HRC9;2.808888889;3.222222222;HRC9;frameFreezing;H.264;2000;-;2;4
v24;v24_HRC2;2.601666667;3.5;HRC2;packetLoss;H.265;400;0.08;-;-
v24;v24_HRC3;2.42;3.25;HRC3;packetLoss;H.264;2000;0.05;-;-
v24;v24_HRC1;2.308333333;2.833333333;HRC1;packetLoss;H.264;500;0.1;-;-
v24;v24_HRC6;2.15;3.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v25;v25_ANC2;4.632;2.6;ANC2;frameFreezing;-;-;-;0;0
v25;v25_ANC1;4.612857143;2;ANC1;packetLoss;-;-;-;-;-
v25;v25_HRC10;4.06;3.166666667;HRC10;frameFreezing;H.264;16000;-;1;2
v25;v25_HRC5;3.876;2.8;HRC5;packetLoss;H.265;8000;0.01;-;-
v25;v25_HRC8;3.522857143;2.714285714;HRC8;frameFreezing;H.265;1000;-;2;4
v25;v25_HRC4;3.17;2.666666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v25;v25_HRC3;2.98;2;HRC3;packetLoss;H.264;2000;0.05;-;-
v25;v25_HRC1;2.616666667;1.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v25;v25_HRC9;2.496666667;2.666666667;HRC9;frameFreezing;H.264;2000;-;2;4
v25;v25_HRC7;2.428888889;2.222222222;HRC7;frameFreezing;H.264;800;-;3;7
v25;v25_HRC2;1.976666667;1.833333333;HRC2;packetLoss;H.265;400;0.08;-;-
v25;v25_HRC6;1.97;2.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v26;v26_ANC2;4.63375;3125;ANC2;frameFreezing;-;-;-;0;0
v26;v26_HRC10;4.271666667;4;HRC10;frameFreezing;H.264;16000;-;1;2
v26;v26_ANC1;4.13;3.333333333;ANC1;packetLoss;-;-;-;-;-
v26;v26_HRC9;3.59;2.8;HRC9;frameFreezing;H.264;2000;-;2;4
v26;v26_HRC5;3.0725;2.75;HRC5;packetLoss;H.265;8000;0.01;-;-
v26;v26_HRC8;2.905;3.5;HRC8;frameFreezing;H.265;1000;-;2;4
v26;v26_HRC4;2.806;3;HRC4;packetLoss;H.265;1000;0.03;-;-
v26;v26_HRC7;2.35;3;HRC7;frameFreezing;H.264;800;-;3;7
v26;v26_HRC2;2.06375;3;HRC2;packetLoss;H.265;400;0.08;-;-
v26;v26_HRC3;1.7575;2875;HRC3;packetLoss;H.264;2000;0.05;-;-
v26;v26_HRC6;1.663333333;2;HRC6;frameFreezing;H.265;200;-;3;8
v26;v26_HRC1;1.493333333;2.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
