refFile;testFile;Mqs;Mcs;HRC;videoDegradationType;videoCodec;videoBitrate;packetLossRate;freezingPauses;freezingLength
v57;v57_HRC10;4.1175;3.75;HRC10;frameFreezing;H.264;16000;-;1;2
v57;v57_HRC2;1.64;3.5;HRC2;packetLoss;H.265;400;0.08;-;-
v57;v57_HRC3;2.616666667;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v57;v57_HRC4;3.005;3.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v57;v57_HRC5;3.8671428569999997;4.428571429;HRC5;packetLoss;H.265;8000;0.01;-;-
v57;v57_HRC6;1.794;3.6;HRC6;frameFreezing;H.265;200;-;3;8
v57;v57_HRC7;2.242;4.0;HRC7;frameFreezing;H.264;800;-;3;7
v57;v57_HRC8;3.582;4.2;HRC8;frameFreezing;H.265;1000;-;2;4
v57;v57_HRC9;3.273333333;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v10;v10_ANC1;4.5725;3.5;ANC1;packetLoss;-;-;-;-;-
v10;v10_ANC2;4.546666667;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v10;v10_HRC1;1.985;2.875;HRC1;packetLoss;H.264;500;0.1;-;-
v10;v10_HRC10;4.14;3.0;HRC10;frameFreezing;H.264;16000;-;1;2
v10;v10_HRC2;1.36;2.8;HRC2;packetLoss;H.265;400;0.08;-;-
v10;v10_HRC3;2.26;3.166666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v10;v10_HRC4;2.37;3.777777778;HRC4;packetLoss;H.265;1000;0.03;-;-
v10;v10_HRC5;3.673333333;4.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v10;v10_HRC6;1.4444444440000002;2.888888889;HRC6;frameFreezing;H.265;200;-;3;8
v10;v10_HRC7;2.83;2.0;HRC7;frameFreezing;H.264;800;-;3;7
v10;v10_HRC8;3.735;4.0;HRC8;frameFreezing;H.265;1000;-;2;4
v10;v10_HRC9;2.7739999999999996;3.8;HRC9;frameFreezing;H.264;2000;-;2;4
v60;v60_ANC1;4.2025;3.5;ANC1;packetLoss;-;-;-;-;-
v60;v60_ANC2;4.516;2.8;ANC2;frameFreezing;-;-;-;0;0
v60;v60_HRC1;1.68;2.666666667;HRC1;packetLoss;H.264;500;0.1;-;-
v60;v60_HRC10;4.025;3.0;HRC10;frameFreezing;H.264;16000;-;1;2
v60;v60_HRC2;1.956;2.4;HRC2;packetLoss;H.265;400;0.08;-;-
v60;v60_HRC3;2.6460000000000004;3.8;HRC3;packetLoss;H.264;2000;0.05;-;-
v60;v60_HRC4;2.9666666669999997;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v60;v60_HRC5;3.376666667;3.166666667;HRC5;packetLoss;H.265;8000;0.01;-;-
v60;v60_HRC6;1.96;2.4;HRC6;frameFreezing;H.265;200;-;3;8
v60;v60_HRC7;1.7883333330000002;2.833333333;HRC7;frameFreezing;H.264;800;-;3;7
v60;v60_HRC8;2.955;3.75;HRC8;frameFreezing;H.265;1000;-;2;4
v60;v60_HRC9;3.04625;3.125;HRC9;frameFreezing;H.264;2000;-;2;4
v54;v54_ANC1;4.19;3.714285714;ANC1;packetLoss;-;-;-;-;-
v54;v54_ANC2;4.5760000000000005;3.2;ANC2;frameFreezing;-;-;-;0;0
v54;v54_HRC1;3.055;3.5;HRC1;packetLoss;H.264;500;0.1;-;-
v54;v54_HRC10;3.8475;4.0;HRC10;frameFreezing;H.264;16000;-;1;2
v54;v54_HRC2;1.8666666669999998;2.166666667;HRC2;packetLoss;H.265;400;0.08;-;-
v54;v54_HRC3;2.614;3.4;HRC3;packetLoss;H.264;2000;0.05;-;-
v54;v54_HRC4;2.688;3.4;HRC4;packetLoss;H.265;1000;0.03;-;-
v54;v54_HRC5;2.596666667;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v54;v54_HRC6;1.965;3.5;HRC6;frameFreezing;H.265;200;-;3;8
v54;v54_HRC7;2.1425;2.75;HRC7;frameFreezing;H.264;800;-;3;7
v54;v54_HRC8;3.3925;3.5;HRC8;frameFreezing;H.265;1000;-;2;4
v54;v54_HRC9;3.1257142860000005;3.0;HRC9;frameFreezing;H.264;2000;-;2;4
v21;v21_ANC1;4.635555556;3.0;ANC1;packetLoss;-;-;-;-;-
v21;v21_ANC2;4.7425;4.0;ANC2;frameFreezing;-;-;-;0;0
v21;v21_HRC1;1.99;3.0;HRC1;packetLoss;H.264;500;0.1;-;-
v21;v21_HRC10;3.888888889;4.0;HRC10;frameFreezing;H.264;16000;-;1;2
v21;v21_HRC2;2.066666667;3.0;HRC2;packetLoss;H.265;400;0.08;-;-
v21;v21_HRC3;3.04;3.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v21;v21_HRC4;1.57;2.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v21;v21_HRC5;3.695;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v21;v21_HRC6;2.383333333;3.0;HRC6;frameFreezing;H.265;200;-;3;8
v21;v21_HRC7;2.221666667;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v21;v21_HRC8;3.365;3.25;HRC8;frameFreezing;H.265;1000;-;2;4
v21;v21_HRC9;3.61;3.75;HRC9;frameFreezing;H.264;2000;-;2;4
v16;v16_ANC1;4.06;3.0;ANC1;packetLoss;-;-;-;-;-
v16;v16_ANC2;4.81625;2.875;ANC2;frameFreezing;-;-;-;0;0
v16;v16_HRC1;2.278571429;3.285714286;HRC1;packetLoss;H.264;500;0.1;-;-
v16;v16_HRC10;4.0775;3.125;HRC10;frameFreezing;H.264;16000;-;1;2
v16;v16_HRC2;2.273333333;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
v16;v16_HRC3;3.063333333;3.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v16;v16_HRC4;3.102857143;3.714285714;HRC4;packetLoss;H.265;1000;0.03;-;-
v16;v16_HRC5;3.464;3.8;HRC5;packetLoss;H.265;8000;0.01;-;-
v16;v16_HRC6;3.2575;3.75;HRC6;frameFreezing;H.265;200;-;3;8
v16;v16_HRC7;2.0775;3.5;HRC7;frameFreezing;H.264;800;-;3;7
v16;v16_HRC8;3.6583333330000003;3.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v16;v16_HRC9;4.366666667;4.0;HRC9;frameFreezing;H.264;2000;-;2;4
v19;v19_ANC1;4.027777778;3.111111111;ANC1;packetLoss;-;-;-;-;-
v19;v19_ANC2;4.681;3.3;ANC2;frameFreezing;-;-;-;0;0
v19;v19_HRC1;2.525;2.25;HRC1;packetLoss;H.264;500;0.1;-;-
v19;v19_HRC10;3.5133333330000003;3.666666667;HRC10;frameFreezing;H.264;16000;-;1;2
v19;v19_HRC2;1.474;3.2;HRC2;packetLoss;H.265;400;0.08;-;-
v19;v19_HRC3;3.483333333;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v19;v19_HRC4;2.3325;3.5;HRC4;packetLoss;H.265;1000;0.03;-;-
v19;v19_HRC5;2.8;2.333333333;HRC5;packetLoss;H.265;8000;0.01;-;-
v19;v19_HRC6;2.01;3.0;HRC6;frameFreezing;H.265;200;-;3;8
v19;v19_HRC7;2.904;3.2;HRC7;frameFreezing;H.264;800;-;3;7
v19;v19_HRC8;2.3233333330000003;2.5;HRC8;frameFreezing;H.265;1000;-;2;4
v19;v19_HRC9;2.885;2.875;HRC9;frameFreezing;H.264;2000;-;2;4
v36;v36_ANC1;3.843333333;3.333333333;ANC1;packetLoss;-;-;-;-;-
v36;v36_ANC2;4.388571429;3.428571429;ANC2;frameFreezing;-;-;-;0;0
v36;v36_HRC1;2.105;2.125;HRC1;packetLoss;H.264;500;0.1;-;-
v36;v36_HRC10;3.738;3.0;HRC10;frameFreezing;H.264;16000;-;1;2
v36;v36_HRC2;2.35;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
v36;v36_HRC3;2.41375;2.875;HRC3;packetLoss;H.264;2000;0.05;-;-
v36;v36_HRC4;2.295;4.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v36;v36_HRC5;3.293333333;1.6666666669999999;HRC5;packetLoss;H.265;8000;0.01;-;-
v36;v36_HRC6;2.34;1.6666666669999999;HRC6;frameFreezing;H.265;200;-;3;8
v36;v36_HRC7;2.25;2.857142857;HRC7;frameFreezing;H.264;800;-;3;7
v36;v36_HRC8;3.198;2.8;HRC8;frameFreezing;H.265;1000;-;2;4
v36;v36_HRC9;3.2275;3.0;HRC9;frameFreezing;H.264;2000;-;2;4
v17;v17_ANC1;4.69625;3.375;ANC1;packetLoss;-;-;-;-;-
v17;v17_ANC2;4.831428571;3.428571429;ANC2;frameFreezing;-;-;-;0;0
v17;v17_HRC1;1.45;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v17;v17_HRC10;4.6471428569999995;3.285714286;HRC10;frameFreezing;H.264;16000;-;1;2
v17;v17_HRC2;1.3385714290000001;3.428571429;HRC2;packetLoss;H.265;400;0.08;-;-
v17;v17_HRC3;1.535;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v17;v17_HRC4;2.03;2.8;HRC4;packetLoss;H.265;1000;0.03;-;-
v17;v17_HRC5;3.5175;3.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v17;v17_HRC6;1.0825;1.5;HRC6;frameFreezing;H.265;200;-;3;8
v17;v17_HRC7;3.65;4.0;HRC7;frameFreezing;H.264;800;-;3;7
v17;v17_HRC8;2.465;3.5;HRC8;frameFreezing;H.265;1000;-;2;4
v17;v17_HRC9;2.758333333;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v05;v05_ANC1;4.162;3.6;ANC1;packetLoss;-;-;-;-;-
v05;v05_ANC2;4.218181818;4.0;ANC2;frameFreezing;-;-;-;0;0
v05;v05_HRC1;1.92;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v05;v05_HRC10;4.19;4.5;HRC10;frameFreezing;H.264;16000;-;1;2
v05;v05_HRC2;1.9233333330000002;3.833333333;HRC2;packetLoss;H.265;400;0.08;-;-
v05;v05_HRC3;1.89;3.0;HRC3;packetLoss;H.264;2000;0.05;-;-
v05;v05_HRC4;2.71;3.8;HRC4;packetLoss;H.265;1000;0.03;-;-
v05;v05_HRC5;3.2119999999999997;3.6;HRC5;packetLoss;H.265;8000;0.01;-;-
v05;v05_HRC6;1.444;2.0;HRC6;frameFreezing;H.265;200;-;3;8
v05;v05_HRC7;2.605;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v05;v05_HRC8;2.6425;4.0;HRC8;frameFreezing;H.265;1000;-;2;4
v05;v05_HRC9;2.9075;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v45;v45_ANC1;4.6739999999999995;2.4;ANC1;packetLoss;-;-;-;-;-
v45;v45_ANC2;4.406000000000001;3.4;ANC2;frameFreezing;-;-;-;0;0
v45;v45_HRC1;1.88625;3.125;HRC1;packetLoss;H.264;500;0.1;-;-
v45;v45_HRC10;3.536666667;3.666666667;HRC10;frameFreezing;H.264;16000;-;1;2
v45;v45_HRC2;2.075;2.0;HRC2;packetLoss;H.265;400;0.08;-;-
v45;v45_HRC3;3.2325;2.25;HRC3;packetLoss;H.264;2000;0.05;-;-
v45;v45_HRC4;3.576666667;3.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v45;v45_HRC5;2.18;2.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v45;v45_HRC6;3.22;3.0;HRC6;frameFreezing;H.265;200;-;3;8
v45;v45_HRC7;1.81;3.0;HRC7;frameFreezing;H.264;800;-;3;7
v45;v45_HRC8;3.98;3.571428571;HRC8;frameFreezing;H.265;1000;-;2;4
v45;v45_HRC9;4.04;2.75;HRC9;frameFreezing;H.264;2000;-;2;4
v20;v20_ANC1;4.3716666669999995;3.166666667;ANC1;packetLoss;-;-;-;-;-
v20;v20_ANC2;4.77;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v20;v20_HRC1;1.595;1.75;HRC1;packetLoss;H.264;500;0.1;-;-
v20;v20_HRC10;4.2425;2.375;HRC10;frameFreezing;H.264;16000;-;1;2
v20;v20_HRC2;1.9114285709999999;1.714285714;HRC2;packetLoss;H.265;400;0.08;-;-
v20;v20_HRC3;2.3471428569999997;2.857142857;HRC3;packetLoss;H.264;2000;0.05;-;-
v20;v20_HRC4;2.2880000000000003;2.8;HRC4;packetLoss;H.265;1000;0.03;-;-
v20;v20_HRC5;3.2775;2.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v20;v20_HRC6;2.13;2.666666667;HRC6;frameFreezing;H.265;200;-;3;8
v20;v20_HRC7;2.123333333;2.0;HRC7;frameFreezing;H.264;800;-;3;7
v20;v20_HRC8;2.8525;2.0;HRC8;frameFreezing;H.265;1000;-;2;4
v20;v20_HRC9;3.79;1.6666666669999999;HRC9;frameFreezing;H.264;2000;-;2;4
v49;v49_ANC1;4.683333333;3.333333333;ANC1;packetLoss;-;-;-;-;-
v49;v49_ANC2;4.5275;3.5;ANC2;frameFreezing;-;-;-;0;0
v49;v49_HRC1;2.425;3.75;HRC1;packetLoss;H.264;500;0.1;-;-
v49;v49_HRC10;3.397142857;3.142857143;HRC10;frameFreezing;H.264;16000;-;1;2
v49;v49_HRC2;1.636;3.0;HRC2;packetLoss;H.265;400;0.08;-;-
v49;v49_HRC3;3.0688888889999997;2.888888889;HRC3;packetLoss;H.264;2000;0.05;-;-
v49;v49_HRC4;2.5066666669999997;3.333333333;HRC4;packetLoss;H.265;1000;0.03;-;-
v49;v49_HRC5;2.456666667;3.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v49;v49_HRC6;2.25;3.0;HRC6;frameFreezing;H.265;200;-;3;8
v49;v49_HRC7;2.5325;3.25;HRC7;frameFreezing;H.264;800;-;3;7
v49;v49_HRC8;3.75;2.75;HRC8;frameFreezing;H.265;1000;-;2;4
v49;v49_HRC9;0.0;0.0;HRC9;frameFreezing;H.264;2000;-;2;4
v06;v06_ANC1;3.47;3.2;ANC1;packetLoss;-;-;-;-;-
v06;v06_ANC2;4.77;4.333333333;ANC2;frameFreezing;-;-;-;0;0
v06;v06_HRC1;2.25125;2.75;HRC1;packetLoss;H.264;500;0.1;-;-
v06;v06_HRC10;3.5775;3.5;HRC10;frameFreezing;H.264;16000;-;1;2
v06;v06_HRC2;1.995454545;3.1818181819999998;HRC2;packetLoss;H.265;400;0.08;-;-
v06;v06_HRC3;2.6275;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v06;v06_HRC4;3.14;2.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v06;v06_HRC5;3.106666667;3.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v06;v06_HRC6;2.89;4.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v06;v06_HRC7;2.495555556;2.777777778;HRC7;frameFreezing;H.264;800;-;3;7
v06;v06_HRC8;2.92;3.2;HRC8;frameFreezing;H.265;1000;-;2;4
v06;v06_HRC9;3.55;5.0;HRC9;frameFreezing;H.264;2000;-;2;4
v08;v08_ANC1;4.75;2.0;ANC1;packetLoss;-;-;-;-;-
v08;v08_ANC2;4.502857143;2.5714285709999998;ANC2;frameFreezing;-;-;-;0;0
v08;v08_HRC1;2.4225;3.0;HRC1;packetLoss;H.264;500;0.1;-;-
v08;v08_HRC10;3.544285714;3.0;HRC10;frameFreezing;H.264;16000;-;1;2
v08;v08_HRC2;1.77;2.75;HRC2;packetLoss;H.265;400;0.08;-;-
v08;v08_HRC3;2.123333333;4.0;HRC3;packetLoss;H.264;2000;0.05;-;-
v08;v08_HRC4;2.912;3.6;HRC4;packetLoss;H.265;1000;0.03;-;-
v08;v08_HRC5;4.1814285710000005;2.857142857;HRC5;packetLoss;H.265;8000;0.01;-;-
v08;v08_HRC6;1.59;1.8;HRC6;frameFreezing;H.265;200;-;3;8
v08;v08_HRC7;2.3233333330000003;2.444444444;HRC7;frameFreezing;H.264;800;-;3;7
v08;v08_HRC8;3.345;2.75;HRC8;frameFreezing;H.265;1000;-;2;4
v08;v08_HRC9;3.154;3.0;HRC9;frameFreezing;H.264;2000;-;2;4
v03;v03_ANC1;4.1930000000000005;3.4;ANC1;packetLoss;-;-;-;-;-
v03;v03_ANC2;4.6;4.0;ANC2;frameFreezing;-;-;-;0;0
v03;v03_HRC1;2.436666667;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v03;v03_HRC10;4.376666667;4.333333333;HRC10;frameFreezing;H.264;16000;-;1;2
v03;v03_HRC2;2.156;2.6;HRC2;packetLoss;H.265;400;0.08;-;-
v03;v03_HRC3;2.768333333;3.833333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v03;v03_HRC4;2.741666667;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v03;v03_HRC5;3.6;3.714285714;HRC5;packetLoss;H.265;8000;0.01;-;-
v03;v03_HRC6;1.83;3.0;HRC6;frameFreezing;H.265;200;-;3;8
v03;v03_HRC7;2.095;4.0;HRC7;frameFreezing;H.264;800;-;3;7
v03;v03_HRC8;3.06;3.0;HRC8;frameFreezing;H.265;1000;-;2;4
v03;v03_HRC9;3.48;3.2;HRC9;frameFreezing;H.264;2000;-;2;4
v56;v56_ANC1;4.226;3.0;ANC1;packetLoss;-;-;-;-;-
v56;v56_ANC2;4.75;3.6;ANC2;frameFreezing;-;-;-;0;0
v56;v56_HRC1;1.9;2.0;HRC1;packetLoss;H.264;500;0.1;-;-
v56;v56_HRC10;3.646666667;2.0;HRC10;frameFreezing;H.264;16000;-;1;2
v56;v56_HRC2;1.864444444;2.222222222;HRC2;packetLoss;H.265;400;0.08;-;-
v56;v56_HRC3;2.7042857139999996;1.857142857;HRC3;packetLoss;H.264;2000;0.05;-;-
v56;v56_HRC4;2.6475;3.25;HRC4;packetLoss;H.265;1000;0.03;-;-
v56;v56_HRC5;2.61;2.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v56;v56_HRC6;2.536666667;3.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v56;v56_HRC7;2.226;2.8;HRC7;frameFreezing;H.264;800;-;3;7
v56;v56_HRC8;2.9942857139999997;2.857142857;HRC8;frameFreezing;H.265;1000;-;2;4
v56;v56_HRC9;3.541666667;3.166666667;HRC9;frameFreezing;H.264;2000;-;2;4
v53;v53_ANC1;4.423333333;3.166666667;ANC1;packetLoss;-;-;-;-;-
v53;v53_ANC2;4.8125;3.5;ANC2;frameFreezing;-;-;-;0;0
v53;v53_HRC1;1.8366666669999998;2.5;HRC1;packetLoss;H.264;500;0.1;-;-
v53;v53_HRC10;3.95;2.625;HRC10;frameFreezing;H.264;16000;-;1;2
v53;v53_HRC2;1.745;3.0;HRC2;packetLoss;H.265;400;0.08;-;-
v53;v53_HRC3;2.9933333330000003;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v53;v53_HRC4;2.487142857;2.142857143;HRC4;packetLoss;H.265;1000;0.03;-;-
v53;v53_HRC5;3.295;3.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v53;v53_HRC6;2.0625;1.625;HRC6;frameFreezing;H.265;200;-;3;8
v53;v53_HRC7;2.6383333330000003;2.833333333;HRC7;frameFreezing;H.264;800;-;3;7
v53;v53_HRC8;2.936666667;2.0;HRC8;frameFreezing;H.265;1000;-;2;4
v53;v53_HRC9;2.9225;2.5;HRC9;frameFreezing;H.264;2000;-;2;4
v24;v24_ANC1;4.0475;3.5;ANC1;packetLoss;-;-;-;-;-
v24;v24_ANC2;4.51;4.333333333;ANC2;frameFreezing;-;-;-;0;0
v24;v24_HRC1;2.308333333;2.833333333;HRC1;packetLoss;H.264;500;0.1;-;-
v24;v24_HRC10;3.895;3.3;HRC10;frameFreezing;H.264;16000;-;1;2
v24;v24_HRC2;2.601666667;3.5;HRC2;packetLoss;H.265;400;0.08;-;-
v24;v24_HRC3;2.42;3.25;HRC3;packetLoss;H.264;2000;0.05;-;-
v24;v24_HRC4;3.29;4.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v24;v24_HRC5;4.376666667;3.666666667;HRC5;packetLoss;H.265;8000;0.01;-;-
v24;v24_HRC6;2.15;3.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v24;v24_HRC7;2.9228571430000003;3.857142857;HRC7;frameFreezing;H.264;800;-;3;7
v24;v24_HRC8;3.2;3.0;HRC8;frameFreezing;H.265;1000;-;2;4
v24;v24_HRC9;2.808888889;3.222222222;HRC9;frameFreezing;H.264;2000;-;2;4
v40;v40_ANC1;4.2475;3.75;ANC1;packetLoss;-;-;-;-;-
v40;v40_ANC2;4.69;3.6;ANC2;frameFreezing;-;-;-;0;0
v40;v40_HRC1;1.72;3.0;HRC1;packetLoss;H.264;500;0.1;-;-
v40;v40_HRC10;4.07;3.571428571;HRC10;frameFreezing;H.264;16000;-;1;2
v40;v40_HRC2;1.59;4.0;HRC2;packetLoss;H.265;400;0.08;-;-
v40;v40_HRC3;2.498;3.6;HRC3;packetLoss;H.264;2000;0.05;-;-
v40;v40_HRC4;2.67;3.75;HRC4;packetLoss;H.265;1000;0.03;-;-
v40;v40_HRC5;3.4216666669999998;4.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v40;v40_HRC6;1.1690909090000001;2.090909091;HRC6;frameFreezing;H.265;200;-;3;8
v40;v40_HRC7;2.06;3.0;HRC7;frameFreezing;H.264;800;-;3;7
v40;v40_HRC8;3.0272727269999997;3.1818181819999998;HRC8;frameFreezing;H.265;1000;-;2;4
v40;v40_HRC9;2.74;3.333333333;HRC9;frameFreezing;H.264;2000;-;2;4
v58;v58_ANC1;4.43;3.0;ANC1;packetLoss;-;-;-;-;-
v58;v58_ANC2;4.717142857;4.0;ANC2;frameFreezing;-;-;-;0;0
v58;v58_HRC1;2.148333333;3.0;HRC1;packetLoss;H.264;500;0.1;-;-
v58;v58_HRC10;3.2766666669999998;2.333333333;HRC10;frameFreezing;H.264;16000;-;1;2
v58;v58_HRC2;2.036666667;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
