refFile;testFile;HRC;score;Mqs;adaptationAlgo;netcond;ssim;psnr;biqiProcess;brisqueProcess;niqeProcess;viideoProcess;diivineProcess;biqi;brisque;niqe;diivine;viideo;linear;minkowski;power
MD;MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_3;TC10;0.798510752;3.936543471;OracleVMAFViterbiQualityBasedAdaptor;Trace_3;0.970140396;37.3454991;0;0;0;0;0;37.3539509;46.04461905;5.898869771;0.95861873;0.601079745;-8.009916063;0.786470712;26.92456116
MD;MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_4;TC11;-0.473579687;2.587469817;OracleVMAFViterbiQualityBasedAdaptor;Trace_4;0.950705852;35.12398311;0;0;0;0;0;35.55149047;54.41045;6.935413547;0.970140396;0.705304107;-8.004677162;0.791211178;26.92457188
MD;MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_5;TC12;1.232652343;4.396958048;OracleVMAFViterbiQualityBasedAdaptor;Trace_5;0.973805693;38.32422495;0;0;0;0;0;40.13462841;43.51217143;5.451779484;0.950705852;0.569133634;-8.013514049;0.783213672;26.92455384
MD;MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_6;TC13;-0.124692784;2.957470341;OracleVMAFViterbiQualityBasedAdaptor;Trace_6;0.945702589;34.28514863;0;0;0;0;0;40.16290352;54.98647619;6.961084744;0.973805693;0.626955323;-8.003010551;0.792718735;26.9245753
MD;MeridianDriving_SimpleThroughputBasedAdaptor_Trace_0;TC14;0.534229969;3.656269183;SimpleThroughputBasedAdaptor;Trace_0;0.972412965;37.35605864;0;0;0;0;0;36.68578562;46.73543182;5.860803718;0.316288938;0.633302378;-8.30198342;0.516285272;26.92409692
MD;MeridianDriving_SimpleThroughputBasedAdaptor_Trace_1;TC15;0.897150335;4.041152434;SimpleThroughputBasedAdaptor;Trace_1;0.967272474;36.91336674;0;0;0;0;0;36.02136569;48.11874286;6.13949992;0.350512537;0.586096372;-8.286421949;0.531155252;26.92411405
MD;MeridianDriving_SimpleThroughputBasedAdaptor_Trace_2;TC16;0.319468639;3.428511122;SimpleThroughputBasedAdaptor;Trace_2;0.958398214;35.61477244;0;0;0;0;0;39.14112524;51.43285714;6.574980185;0.389258607;0.610311982;-8.268804111;0.547886364;26.92413465
MD;MeridianDriving_SimpleThroughputBasedAdaptor_Trace_3;TC17;0.560698028;3.684339012;SimpleThroughputBasedAdaptor;Trace_3;0.969676899;36.92711469;0;0;0;0;0;34.73963709;47.82935;5.982131191;0.346773005;0.695481308;-8.288122315;0.529534857;26.92411213
MD;MeridianDriving_SimpleThroughputBasedAdaptor_Trace_4;TC18;-0.631737714;2.419740527;SimpleThroughputBasedAdaptor;Trace_4;0.948081989;34.50144121;0;0;0;0;0;37.28345585;55.674832;7.094719823;0.387859384;0.735401162;-8.269440338;0.547283916;26.92413389
MD;MeridianDriving_SimpleThroughputBasedAdaptor_Trace_5;TC19;1.126650255;4.284541022;SimpleThroughputBasedAdaptor;Trace_5;0.975837221;38.26605411;0;0;0;0;0;39.53995477;44.71055238;5.566137485;0.289150329;0.567835857;-8.314323345;0.504423981;26.92408409
MD;MeridianDriving_SimpleThroughputBasedAdaptor_Trace_6;TC20;-0.415241168;2.649338814;SimpleThroughputBasedAdaptor;Trace_6;0.94575273;33.96448338;0;0;0;0;0;45.98012928;57.5498619;7.262310777;0.451119763;0.63078272;-8.240675844;0.574403812;26.92417008
MD;MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_0;TC21;0.922537068;4.068075499;VMAFViterbiQualityBasedAdaptor;Trace_0;0.970013174;37.38908331;0;0;0;0;0;36.751967;46.12610476;5.891904321;0.333702189;0.623186039;-8.294065615;0.523862765;26.92410551
MD;MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_1;TC22;0.700862827;3.832986177;VMAFViterbiQualityBasedAdaptor;Trace_1;0.965012269;36.84631771;0;0;0;0;0;38.08241059;48.39684762;6.129242335;0.357313594;0.576382964;-8.283329509;0.534099621;26.92411758
MD;MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_2;TC23;0.343213416;3.453692864;VMAFViterbiQualityBasedAdaptor;Trace_2;0.954949591;35.91328708;0;0;0;0;0;37.4048701;50.68900952;6.500534667;0.395989392;0.606439813;-8.265743623;0.550782621;26.92413836
MD;MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_3;TC24;0.542870209;3.665432305;VMAFViterbiQualityBasedAdaptor;Trace_3;0.96695018;36.81939068;0;0;0;0;0;37.59844168;47.04550476;5.92422071;0.333242171;0.622543895;-8.294274785;0.5236629;26.92410528
MD;MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_4;TC25;-0.66027831;2.389472737;VMAFViterbiQualityBasedAdaptor;Trace_4;0.949566872;34.95332968;0;0;0;0;0;39.02094494;55.36554583;7.051660529;0.395409469;0.689814178;-8.266007314;0.550533193;26.92413804
MD;MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_5;TC26;1.154791674;4.314385478;VMAFViterbiQualityBasedAdaptor;Trace_5;0.974334444;38.49435643;0;0;0;0;0;40.80053223;43.93277619;5.465898955;0.296904905;0.569156005;-8.31079734;0.507819993;26.92408769
MD;MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_6;TC27;-0.29576457;2.776045788;VMAFViterbiQualityBasedAdaptor;Trace_6;0.945874651;34.29964401;0;0;0;0;0;40.48050697;55.87899524;7.075305264;0.443529829;0.640033005;-8.244126987;0.571161945;26.92416557
CD;Chimera1102353_HuangBufferBasedAdaptor_Trace_0;TC00;0.521242593;3.642495849;HuangBufferBasedAdaptor;Trace_0;0.989116319;42.76476278;0;0;0;0;0;37.64917097;90.60920476;7.983848167;0.620893587;0.654158236;-8.163479686;0.646235086;26.92428207
CD;Chimera1102353_HuangBufferBasedAdaptor_Trace_1;TC01;-0.331234737;2.73842907;HuangBufferBasedAdaptor;Trace_1;0.987774237;42.21977207;0;0;0;0;0;37.5208842;91.41912273;8.061123804;0.72524445;0.685376745;-8.116031349;0.689871486;26.92436075
CD;Chimera1102353_HuangBufferBasedAdaptor_Trace_2;TC02;-0.519288873;2.538994444;HuangBufferBasedAdaptor;Trace_2;0.986896637;41.88589644;0;0;0;0;0;39.54693389;92.70880385;8.091581579;0.739933861;0.737784226;-8.109352073;0.695989047;26.92437238
CD;Chimera1102353_HuangBufferBasedAdaptor_Trace_3;TC03;-0.027773217;3.060255199;HuangBufferBasedAdaptor;Trace_3;0.989215837;42.82879885;0;0;0;0;0;38.43169615;9.668285077;7.771214125;0.577228795;0.760604073;-8.183334067;0.627871384;26.9242513
CD;Chimera1102353_HuangBufferBasedAdaptor_Trace_4;TC04;-0.93008451;2.10333865;HuangBufferBasedAdaptor;Trace_4;0.986596619;41.50508234;0;0;0;0;0;40.90137527;9.893086262;8.727448926;0.810958551;0.632006848;-8.077057147;0.7254911;26.92443056
CD;Chimera1102353_HuangBufferBasedAdaptor_Trace_5;TC05;0.577081895;3.701714383;HuangBufferBasedAdaptor;Trace_5;0.990044075;43.17727781;0;0;0;0;0;38.29644511;9.631401796;7.701070296;0.559622881;0.639962887;-8.191339476;0.62044729;26.92423927
CD;Chimera1102353_HuangBufferBasedAdaptor_Trace_6;TC06;-0.841477927;2.197307446;HuangBufferBasedAdaptor;Trace_6;0.985430196;41.21995227;0;0;0;0;0;39.03910251;10.19195948;8.530931862;0.86721832;0.682121457;-8.05147583;0.748777242;26.92447881
CD;Chimera1102353_OracleVMAFViterbiQualityBasedAdaptor_Trace_0;TC07;0.761817181;3.897629311;OracleVMAFViterbiQualityBasedAdaptor;Trace_0;0.992382242;43.81498166;0;0;0;0;0;40.13737189;89.28250476;7.391761664;0.606193299;0.63882035;-8.170163907;0.640060226;26.92427156
CD;Chimera1102353_OracleVMAFViterbiQualityBasedAdaptor_Trace_1;TC08;0.560338821;3.683958067;OracleVMAFViterbiQualityBasedAdaptor;Trace_1;0.991492147;43.40948187;0;0;0;0;0;42.05940611;91.79642381;7.495722082;0.723057501;0.640944843;-8.117025754;0.688960214;26.92435902
CD;Chimera1102353_OracleVMAFViterbiQualityBasedAdaptor_Trace_2;TC09;0.277153337;3.383635021;OracleVMAFViterbiQualityBasedAdaptor;Trace_2;0.990171128;42.75982229;0;0;0;0;0;41.5806169;94.34900476;7.839985066;0.792082096;0.616670794;-8.085640271;0.717662167;26.9244148
CD;Chimera1102353_OracleVMAFViterbiQualityBasedAdaptor_Trace_3;TC10;0.736764762;3.871060793;OracleVMAFViterbiQualityBasedAdaptor;Trace_3;0.99202288;43.60089882;0;0;0;0;0;40.59403526;87.81069524;7.374705568;0.67362427;0.620012031;-8.139503044;0.668326387;26.92432093
CD;Chimera1102353_OracleVMAFViterbiQualityBasedAdaptor_Trace_4;TC11;-0.524144135;2.533845356;OracleVMAFViterbiQualityBasedAdaptor;Trace_4;0.98745462;41.82155118;0;0;0;0;0;41.28751418;98.02360435;8.272869916;0.874273747;0.642905104;-8.048267727;0.751692742;26.924485
CD;Chimera1102353_OracleVMAFViterbiQualityBasedAdaptor_Trace_5;TC12;1.018146977;4.169471441;OracleVMAFViterbiQualityBasedAdaptor;Trace_5;0.993229444;44.27347498;0;0;0;0;0;38.62059954;82.22250952;7.089000326;0.529518231;0.670294134;-8.20502806;0.607724388;26.92421921
CD;Chimera1102353_OracleVMAFViterbiQualityBasedAdaptor_Trace_6;TC13;0.0272038;3.118559265;OracleVMAFViterbiQualityBasedAdaptor;Trace_6;0.986670439;41.52558808;0;0;0;0;0;40.16144495;97.21757143;8.206169694;0.933121707;0.577319714;-8.02150956;0.775971741;26.9245377
CD;Chimera1102353_SimpleThroughputBasedAdaptor_Trace_0;TC14;0.194861397;3.296363012;SimpleThroughputBasedAdaptor;Trace_0;0.991873244;43.63923485;0;0;0;0;0;39.27862681;89.44354091;7.426282091;0.621027713;0.639503534;-8.163418699;0.646291392;26.92428216
CD;Chimera1102353_SimpleThroughputBasedAdaptor_Trace_1;TC15;0.638363792;3.766704882;SimpleThroughputBasedAdaptor;Trace_1;0.991036115;43.18156977;0;0;0;0;0;41.22236825;92.91796667;7.657245252;0.738454531;0.650115733;-8.110024725;0.695373223;26.92437121
CD;Chimera1102353_SimpleThroughputBasedAdaptor_Trace_2;TC16;0.415597071;3.530456967;SimpleThroughputBasedAdaptor;Trace_2;0.988862919;42.27761244;0;0;0;0;0;41.36230592;96.03114286;7.975599325;0.839496521;0.61651544;-8.064080932;0.737311696;26.9244548
CD;Chimera1102353_SimpleThroughputBasedAdaptor_Trace_3;TC17;0.465154844;3.583013832;SimpleThroughputBasedAdaptor;Trace_3;0.990115027;43.06796738;0;0;0;0;0;40.88041859;92.12811429;7.613528219;0.701764097;0.638387785;-8.126707865;0.68008069;26.92434242
CD;Chimera1102353_SimpleThroughputBasedAdaptor_Trace_4;TC18;-0.458862982;2.603077135;SimpleThroughputBasedAdaptor;Trace_4;0.985616189;41.25211035;0;0;0;0;0;40.54152111;98.6432375;8.382649124;0.930112175;0.607269755;-8.022877994;0.77473171;26.92453496
CD;Chimera1102353_SimpleThroughputBasedAdaptor_Trace_5;TC19;1.043893506;4.196776075;SimpleThroughputBasedAdaptor;Trace_5;0.992836894;44.08983281;0;0;0;0;0;39.42975081;86.91634762;7.167861402;0.54041545;0.662718031;-8.200073095;0.612334054;26.9242264
CD;Chimera1102353_SimpleThroughputBasedAdaptor_Trace_6;TC20;-0.295691233;2.776123563;SimpleThroughputBasedAdaptor;Trace_6;0.985496247;41.18615786;0;0;0;0;0;40.2997155;98.92217143;8.456577721;0.96105861;0.585028649;-8.00880665;0.787474771;26.92456342
CD;Chimera1102353_VMAFViterbiQualityBasedAdaptor_Trace_0;TC21;0.525385868;3.646889863;VMAFViterbiQualityBasedAdaptor;Trace_0;0.991542647;43.47719249;0;0;0;0;0;40.43996219;89.83154286;7.567146197;0.690407433;0.636046135;-8.13187174;0.67533966;26.92433369
CD;Chimera1102353_VMAFViterbiQualityBasedAdaptor_Trace_1;TC22;0.308269071;3.416633789;VMAFViterbiQualityBasedAdaptor;Trace_1;0.990711618;43.07011884;0;0;0;0;0;41.3084049;92.35035714;7.619481319;0.789107837;0.648169945;-8.086992667;0.716427842;26.92441233
CD;Chimera1102353_VMAFViterbiQualityBasedAdaptor_Trace_2;TC23;0.286722962;3.393783772;VMAFViterbiQualityBasedAdaptor;Trace_2;0.989784888;42.6586936;0;0;0;0;0;40.65000077;94.35889524;7.974331585;0.781823287;0.629793768;-8.090304951;0.713403843;26.92440632
CD;Chimera1102353_VMAFViterbiQualityBasedAdaptor_Trace_3;TC24;0.27004896;3.376100708;VMAFViterbiQualityBasedAdaptor;Trace_3;0.990649308;43.2845672;0;0;0;0;0;39.71607928;90.27323333;7.615100126;0.666363308;0.643891957;-8.142804604;0.665289608;26.92431547
CD;Chimera1102353_VMAFViterbiQualityBasedAdaptor_Trace_4;TC25;-0.698828069;2.348590058;VMAFViterbiQualityBasedAdaptor;Trace_4;0.986618033;41.57254492;0;0;0;0;0;41.04469658;98.36554348;8.323761459;0.883117688;0.632006848;-8.044246387;0.755345867;26.92449279
CD;Chimera1102353_VMAFViterbiQualityBasedAdaptor_Trace_5;TC26;0.786268568;3.923560425;VMAFViterbiQualityBasedAdaptor;Trace_5;0.992992658;44.14438097;0;0;0;0;0;39.57032328;83.10503333;7.183977809;0.551854867;0.654054802;-8.194871592;0.617167846;26.92423403
CD;Chimera1102353_VMAFViterbiQualityBasedAdaptor_Trace_6;TC27;-0.202322227;2.87514299;VMAFViterbiQualityBasedAdaptor;Trace_6;0.986834465;41.56333351;0;0;0;0;0;40.23829399;97.65366667;8.215799248;0.901872287;0.582445288;-8.035718671;0.763087542;26.92450947
EM;ElFuenteMask_HuangBufferBasedAdaptor_Trace_0;TC00;0.053724048;3.146684441;HuangBufferBasedAdaptor;Trace_0;0.936976011;31.04048562;0;0;0;0;0;39.13807695;51.52617059;6.321676746;0.993377849;0.6858029;-7.994111092;0.800764934;26.92459372
EM;ElFuenteMask_HuangBufferBasedAdaptor_Trace_1;TC01;-0.142020543;2.939093957;HuangBufferBasedAdaptor;Trace_1;0.93196372;30.87449787;0;0;0;0;0;37.71872677;52.01121176;6.456038114;0.990798265;0.698526594;-7.995284029;0.799704831;26.92459128
EM;ElFuenteMask_HuangBufferBasedAdaptor_Trace_2;TC02;-0.316579477;2.753971224;HuangBufferBasedAdaptor;Trace_2;0.922476998;29.80681056;0;0;0;0;0;40.8912794;52.90484118;6.590409622;0.98707326;0.696625238;-7.996977789;0.798173808;26.92458776
EM;ElFuenteMask_HuangBufferBasedAdaptor_Trace_3;TC03;0.184566014;3.285444582;HuangBufferBasedAdaptor;Trace_3;0.942532761;30.9402963;0;0;0;0;0;38.54823652;52.38676471;6.382869845;0.988794023;0.667847833;-7.996195358;0.798881092;26.92458939
EM;ElFuenteMask_HuangBufferBasedAdaptor_Trace_4;TC04;-1.105135979;1.917693575;HuangBufferBasedAdaptor;Trace_4;0.898940151;28.44185026;0;0;0;0;0;40.70494472;54.448135;6.988686348;0.954985657;0.743880247;-8.011568022;0.784975433;26.92455779
EM;ElFuenteMask_HuangBufferBasedAdaptor_Trace_5;TC05;0.538278692;3.660562923;HuangBufferBasedAdaptor;Trace_5;0.954985657;32.46302332;0;0;0;0;0;35.99152494;50.10431765;6.01455436;0.891003637;0.677643622;-8.040660646;0.758601945;26.92449978
EM;ElFuenteMask_HuangBufferBasedAdaptor_Trace_6;TC06;-0.696614685;2.35093739;HuangBufferBasedAdaptor;Trace_6;0.891003637;27.79907805;0;0;0;0;0;43.73932011;55.45243529;7.039508333;0.967884134;0.639913841;-8.005703084;0.790283048;26.92456977
EM;ElFuenteMask_OracleVMAFViterbiQualityBasedAdaptor_Trace_0;TC07;0.757295669;3.892834171;OracleVMAFViterbiQualityBasedAdaptor;Trace_0;0.967884134;33.26688248;0;0;0;0;0;35.20646145;49.76234118;5.922118121;0.957487021;0.680170901;-8.010430652;0.786004955;26.92456011
EM;ElFuenteMask_OracleVMAFViterbiQualityBasedAdaptor_Trace_1;TC08;0.17758774;3.278044004;OracleVMAFViterbiQualityBasedAdaptor;Trace_1;0.957487021;32.02127778;0;0;0;0;0;38.28836871;50.49001176;6.163608017;0.235116135;0.699842184;-8.338892693;0.480590024;26.9240606
EM;ElFuenteMask_OracleVMAFViterbiQualityBasedAdaptor_Trace_2;TC09;-0.158123936;2.922016033;OracleVMAFViterbiQualityBasedAdaptor;Trace_2;0.940281476;30.49211965;0;0;0;0;0;41.0169983;52.84462353;6.550482603;0.29129465;0.684861224;-8.313348323;0.505363619;26.92408508
EM;ElFuenteMask_OracleVMAFViterbiQualityBasedAdaptor_Trace_3;TC10;0.44962726;3.566546564;OracleVMAFViterbiQualityBasedAdaptor;Trace_3;0.966487336;32.98039667;0;0;0;0;0;36.80518513;50.08844706;6.02493447;0.219093654;0.695469885;-8.346178116;0.473457513;26.92405419
EM;ElFuenteMask_OracleVMAFViterbiQualityBasedAdaptor_Trace_4;TC11;-0.922617667;2.111257365;OracleVMAFViterbiQualityBasedAdaptor;Trace_4;0.917919666;29.30495391;0;0;0;0;0;40.45664908;54.188855;6.740986714;0.3427801;0.756353385;-8.289937889;0.527803517;26.92411009
EM;ElFuenteMask_OracleVMAFViterbiQualityBasedAdaptor_Trace_5;TC12;1.253590224;4.419163029;OracleVMAFViterbiQualityBasedAdaptor;Trace_5;0.97692087;35.09285435;0;0;0;0;0;33.57144163;48.5843;5.577064046;0.983029264;0.667628794;-7.998816594;0.796511406;26.92458395
EM;ElFuenteMask_OracleVMAFViterbiQualityBasedAdaptor_Trace_6;TC13;-0.801537954;2.23966447;OracleVMAFViterbiQualityBasedAdaptor;Trace_6;0.901156289;28.28892729;0;0;0;0;0;43.71906742;55.61823529;6.998238821;0.978424337;0.649462781;-8.000910454;0.794618075;26.92457963
EM;ElFuenteMask_SimpleThroughputBasedAdaptor_Trace_0;TC14;0.300421682;3.408311499;SimpleThroughputBasedAdaptor;Trace_0;0.961853961;32.97370725;0;0;0;0;0;0;49.92672778;6.076849349;0.983621354;0.724571137;-7.99854737;0.796754819;26.92458451
EM;ElFuenteMask_SimpleThroughputBasedAdaptor_Trace_1;TC15;0.107953066;3.204195242;SimpleThroughputBasedAdaptor;Trace_1;0.952806089;31.84571905;0;0;0;0;0;38.2362278;51.42093529;6.289092729;0.970179299;0.688984726;-8.004659473;0.79122718;26.92457191
EM;ElFuenteMask_SimpleThroughputBasedAdaptor_Trace_2;TC16;-0.283146631;2.789427328;SimpleThroughputBasedAdaptor;Trace_2;0.933464146;30.14954136;0;0;0;0;0;0;53.00876471;6.569648872;0.309577041;0.717664072;-8.305035319;0.513357813;26.92409369
EM;ElFuenteMask_SimpleThroughputBasedAdaptor_Trace_3;TC17;0.295650058;3.40325111;SimpleThroughputBasedAdaptor;Trace_3;0.960557505;32.39910337;0;0;0;0;0;37.74655024;50.96441667;6.125515029;0.241609801;0.717602242;-8.335940023;0.483471533;26.92406327
EM;ElFuenteMask_SimpleThroughputBasedAdaptor_Trace_4;TC18;-0.889138245;2.146762864;SimpleThroughputBasedAdaptor;Trace_4;0.912509173;28.9737318;0;0;0;0;0;41.85181648;55.74916;7.06600466;0.343609944;0.742828902;-8.289560558;0.52816344;26.92411051
EM;ElFuenteMask_SimpleThroughputBasedAdaptor_Trace_5;TC19;1.061079198;4.215001795;SimpleThroughputBasedAdaptor;Trace_5;0.976660607;34.77209403;0;0;0;0;0;34.00581501;0;5.670162825;0.171784801;0.680601645;-8.367689451;0.452181542;26.92403686
EM;ElFuenteMask_SimpleThroughputBasedAdaptor_Trace_6;TC20;-0.96210164;2.069383936;SimpleThroughputBasedAdaptor;Trace_6;0.900634697;28.33089425;0;0;0;0;0;40.94754391;54.71755556;6.894653825;0.353741847;0.690330338;-8.284953582;0.532553731;26.92411572
EM;ElFuenteMask_VMAFViterbiQualityBasedAdaptor_Trace_0;TC21;0.352584612;3.463631177;VMAFViterbiQualityBasedAdaptor;Trace_0;0.959253893;32.77382139;0;0;0;0;0;0;50.08214118;6.031730662;0.207293659;0.673965666;-8.351543573;0.468182676;26.92404964
EM;ElFuenteMask_VMAFViterbiQualityBasedAdaptor_Trace_1;TC22;0.197918649;3.29960528;VMAFViterbiQualityBasedAdaptor;Trace_1;0.947452688;31.55003885;0;0;0;0;0;38.15216883;51.18367059;6.193735459;0.243165118;0.684231258;-8.335232821;0.484160939;26.92406392
EM;ElFuenteMask_VMAFViterbiQualityBasedAdaptor_Trace_2;TC23;-0.149838446;2.930802937;VMAFViterbiQualityBasedAdaptor;Trace_2;0.936608578;30.36985572;0;0;0;0;0;40.36091091;53.08726471;6.5430366;0.301651164;0.686582815;-8.308639216;0.509895824;26.92408992
EM;ElFuenteMask_VMAFViterbiQualityBasedAdaptor_Trace_3;TC24;-0.404526645;2.660701749;VMAFViterbiQualityBasedAdaptor;Trace_3;0.96145031;32.80863053;0;0;0;0;0;39.14749858;49.53713182;5.810470046;0.868310835;0.735112177;-8.050979063;0.749228767;26.92447977
EM;ElFuenteMask_VMAFViterbiQualityBasedAdaptor_Trace_4;TC25;-0.831173357;2.208235618;VMAFViterbiQualityBasedAdaptor;Trace_4;0.915895273;29.29735591;0;0;0;0;0;0;55.32386;6.913573223;0.792722917;0.771316558;-8.08534889;0.717928082;26.92441533
EM;ElFuenteMask_VMAFViterbiQualityBasedAdaptor_Trace_5;TC26;1.203169945;4.365691461;VMAFViterbiQualityBasedAdaptor;Trace_5;0.976162154;34.94402878;0;0;0;0;0;0;48.60506471;5.608279135;0.875828201;0.672402097;-8.047560917;0.752334948;26.92448636
EM;ElFuenteMask_VMAFViterbiQualityBasedAdaptor_Trace_6;TC27;-0.94642212;2.086012335;VMAFViterbiQualityBasedAdaptor;Trace_6;0.897262471;28.19861895;0;0;0;0;0;42.79123191;54.6716;7.003233405;0.866665721;0.689230134;-8.051727097;0.748548849;26.92447833
SP;Sparks_HuangBufferBasedAdaptor_Trace_0;TC00;0.272541649;3.378744247;HuangBufferBasedAdaptor;Trace_0;0.950559914;33.48766033;0;0;0;0;0;43.25286996;52.20518571;5.951614302;0.3923415;0.624997496;-8.26740232;0.54921329;26.92413634
SP;Sparks_HuangBufferBasedAdaptor_Trace_1;TC01;-0.369080465;2.698293029;HuangBufferBasedAdaptor;Trace_1;0.935347665;32.88417494;0;0;0;0;0;39.46751573;53.08006364;6.318725105;0.444856431;0.639684075;-8.243523781;0.571728794;26.92416636
SP;Sparks_HuangBufferBasedAdaptor_Trace_2;TC02;-0.380069661;2.686638798;HuangBufferBasedAdaptor;Trace_2;0.926261335;31.96280111;0;0;0;0;0;37.47880478;54.2129619;6.619929456;0.49298456;0.64344633;-8.221639921;0.592232812;26.92419575
SP;Sparks_HuangBufferBasedAdaptor_Trace_3;TC03;0.154454114;3.253510398;HuangBufferBasedAdaptor;Trace_3;0.942300783;33.00787009;0;0;0;0;0;40.87649991;52.6923381;6.224001579;0.430589762;0.622880151;-8.250010835;0.565627709;26.92415799
SP;Sparks_HuangBufferBasedAdaptor_Trace_4;TC04;-1.227291904;1.788145129;HuangBufferBasedAdaptor;Trace_4;0.917932663;31.35112174;0;0;0;0;0;36.57201385;55.6109;6.626790916;0.552780326;0.713852758;-8.194450786;0.617558675;26.92423466
SP;Sparks_HuangBufferBasedAdaptor_Trace_5;TC05;0.035240527;3.127082351;HuangBufferBasedAdaptor;Trace_5;0.950433626;33.79557501;0;0;0;0;0;41.48803354;52.15496667;5.96826598;0.389294192;0.624628563;-8.268787931;0.547901684;26.92413467
SP;Sparks_HuangBufferBasedAdaptor_Trace_6;TC06;-1.439966359;1.562600234;HuangBufferBasedAdaptor;Trace_6;0.916943286;31.18122087;0;0;0;0;0;36.11518726;55.60414583;6.81397849;0.503647627;0.664255235;-8.216791424;0.596760476;26.92420249
SP;Sparks_OracleVMAFViterbiQualityBasedAdaptor_Trace_0;TC07;0.443338202;3.559876911;OracleVMAFViterbiQualityBasedAdaptor;Trace_0;0.955500648;34.13071246;0;0;0;0;0;44.06230479;51.05096667;5.757281292;0.361735435;0.638040387;-8.281318898;0.536012172;26.92411989
SP;Sparks_OracleVMAFViterbiQualityBasedAdaptor_Trace_1;TC08;-0.217288101;2.859271425;OracleVMAFViterbiQualityBasedAdaptor;Trace_1;0.942981426;33.31960954;0;0;0;0;0;43.33015697;52.16464286;6.046544171;0.41124593;0.647801801;-8.258806476;0.557337101;26.92414689
